ulasan,rating
Gofood saya sudah tidak bisa dipakai 2 minggu an ini katanya ada pemakaian yg tidak biasa Padahal saya juga gapernag memberi bintang kurang dari 5 samsek ga pernah nge cancel Kirain gegara down aplikasinya tp ya tetep aja,1
Cot,1
Saya sebagai cs dan driver Di cs pesen makanan cari drivernya yg gacor2 jd lama pilih2 yg jauh pun jadi itu pun lama Di driver sehari order cuma di kasih 1 biji gmna mau nafkahin istri maaf kalo sy beralih dlu,1
ONGKIRNYA MAHAL BANGET DAN TIDAK ADA PROMO ATAU VOUCHER  PAKE GRAB AJA BANYAK PROMONYA,1
makin mahal harga gak stabil naik seenaknya gojek sendiri,1
Saya kecewa sama gopay tidak bisa transfer ke rekening diatas jam 2100 ini bukan dompet digital Kalah dengan aplikasi dompet digital lain,1
Jlek,1
Memesan pizza yang datang ojek,1
Aplikasi jelek,1
Tidak menghargai calon driver nya 4kali bolak balik ke kantor grab Batamudah lengkap persyaratan tapi ngak bisa aktiforang ngojek sendiri yang update aplikasi tidak menghargai orang lain,1
Gk bisa pesan gojek akun katnya bermaslah lol sy hanya pengguna bkn driver yg di kasih bintang 1 dan skrng apliksi gk bisa dibuka hnya 1 detik keluar sndiri udh hapus data trus uninstal kmdian instal lagi sama saja mending hapus selama2 nya,1
sangat membantu,1
GAUSAH DI PERIBET DAH ,1
Diperbaikin bugnya masukin nomor yang udah terverifikasi akunnya aja ga bisa,1
Payah Masa pendaftaran dokumen untuk bisa tarik uang dah setahun gak diproses Udah dikomplain katanya 3 hari selesai eh ternyata gak ada kelanjutan Diprotes lagi gak ada tanggapan Gimana ini Makin ngacooooo Hari ini ya apps error Pesen kurir dari jam set 3 orangnya datang jam 5 Anjir lah Kasihan bapaknya tau Hadeh ngadi ngadi,1
Tidak biaa log in,1
Sistemnya menyulitkan driver dapet drivernya jauh terus,1
Coba,1
Kagak bisa di donlod gimana sih  Apk udh gua hapusin semua Wifi lncar msh aj gk bsa,1
Halah promonya gajelas Mending juga shopee food Masa diklik ga bisa,1
Uprgade ke gopay plus selalu gagal Dikarenakan ke absahan bagaimana ini,1
Saya kasih bintang 1 ya gojek karena keterlambatan nya mengatasi problem lupa nomor handphone lama Min bagaimana saya login ke akun gojek saya sedangkan nomor handphone lama saya sudah tidak aktif dan hangus saya lupa nomor yang lama nya karena sudah gak tau nomor nya kemana dan bingung sudah mau laporin tapi gak ada tanggapan yang serius Aplikasi Gojek meresahkan sekarang beda sama aplikasi sebelah lebih maju,1
Aplikasi jelek mau login aja ribet,1
Aplikasi anj telat bayar gopay katanya padahal tagihannya pas ditgl 2 feb 2024 dendanya 50 rb ga ngotak emang,1
Daftarnya susah  parah,1
Mesen gofood ribet banget Harga tertera 6xxx begitu pesen harus custom minimal 2 harga malah nambah 2x lipat ga jelass ,1
Memperbudak orang dengan sebuah sistem disaat kepepet harus update dahal  5 bulan ga update bisa di skip,1
Pesan gofood sekarang dapet driver nya lama bangetmohon sistem dirubah seperti dulu cari driver bisa capetpesen mode reguler kok dapet driver 30menitniat pesan biyar capet sampai ini nunggu lama bangetmohon untuk di rubah sistem nya,1
Limit gopay pinjam u penguna baru kecil sekali cuma sampai 800k,1
Saldo gapay later masih banyak tetapi status diblokir tanpa pemberitahuan  Mau kasi bintang 5 ga jadi Kayak ga niat dan ga percaya kasi  Percuma dikasi tapi kita ga bisa gunakan,1
GOJEK NGAK USAH KASIH PROMO SAMPE DISCOUNT 5000 KALAU KITA PESAN DRIVER NGAK MAU AMBILAPLIKASI BESAR TAPI TIDAK PROFESIONAL,1
Ini apk apa gue mau pesen makan mala eror mulu,1
Peta citra garden puri seman tolong diupdate driver sering salah jalan dan membuat tarif lebih tinggi karena mutar2,1
Ini kenapa habis diupdate fitur melihat voucher gofood jadi gak ada,1
gila sihh beli air kelapa ijo 1 doang nunggu 30 menit mana tuh toko kelapa jarak dari rmh cuma 09km doangterus sy udh nunggu 30 menit dibatalin coba bikin orang naik darah aja mana sekarang makin ga jelas gojek kalo mau cepet sampe harus nambah ongkir ga kaya dulu satset2sumpah bukanya makin bagus malah makin buruk pelayanannya,1
Errornya gak kelarmo isi pulsa aja susahkebanyakan fiturtiba aja gak bisa pakai gopay latter buat beli pulsa padahal blm bisa di pakai buat beli token listrik,1
Dapat driver melebihi waktu yang ditentukan terlalu lama,1
buruk sekali bagi saya menggunakan ini aplikasi sumpah sampah bgt  pesanan ga nyampe drivernya jga ga ada  kepotong saldo pula  jangan download gojek mending grab apa maxim jelas ini parah uang hilang an71ngg gojek a55uuu,1
Gojek makin ke sini makin gila aja ni ngasih drever selalu yg jauh2 padahal drever yg dekat banyak Mikir lah drever beli bensin pake duit sendiri kasian kan klo jemputnya jauh Emang cara berpikir kalian itu seperti apa Ko selalu dikasih drever yg jauh2 beda dgn grab,1
Gimana cara nya TF tapi lupa pin Sama nomor telepon sudah kadaluarsa bagaimana cara nyaaaa semoga di balas,1
Udah update sampe tak install berkali tetep gabisa dibuka,1
Sanjay membatu,1
Kenapa pas ufdate ga bisa di buka,1
Jelek banget sekarang aplikasinya Ga bisa ajukan GoPaylater lagi apalagi GoPinjam Dulu padahal sudah pernah dapat gopaylater Jadi 1 bintang saja Menghabiskan waktu aja ini kita suruh nunggu Udah nunggu pas coba ehh ditolak lagi Siapa lu,1
Saya puas memakai gopay setelah 2 minggi sy merasa kecewa karna topuap dr indomaret uang g tau ke mna mask nya kata nya ada di tabungan jago setelah sy cek g adasy email chat complin g ada tanggapan,1
Jangan terlalu sering minta update Setelah diupdate ternyata nggak ada perubahan Makan memori doang,1
Setiap pembelian melalui gofood selalu lama kendala makan sudah disiapka Tp driver sampai 1jam gak dpt2 Pesanan tdk bs dibatalkan karena alasan pesanan sdh masuk resto jd harus menunggu yg batalkan dari pihak anda Sangat2 mengecewakan Ajng bngt,1
Biaya penanganan maksdnya apa aku mo pesan minuman di gofood kena biaya penanganan 29 rb Padahal Minumannya cuma 22 rb,1
Status pesanan gofood stuck udah coba pakai wifi  data sama aja padahal internet lancar buat youtube dll udah coba restart hp sama aja aplikasi udah terbaru chat cs yg jawab bot sangat tidak recommended ini udah lewat estimasi loh hampir 1 jam nunggu dari estimasi 28 menit,1
Aplikasi taiiii mw masuk aja susah bngat kya kontoooolll,1
Driver gocarnya gblk,1
Masa titik jemput gocar selalu ngaco padahal sdh sesuai titik sampai saya sudah share lokasi masa bisa jemput ny sampai jauh banget dari titik  tol diperbaiki bikin driver dan saya susah saja Maaf saya ksh bintang 1,1
mohon maaf iklanya dikurangi,1
Setres Setelah update makin parah,1
Sangat tidak suka,1
kenapa setelah di update malah tidak bisa pakai fitur go pay,1
Makin lama sekarang gofoodnya kayanya udah g secepat dulu ditambah ada option tambahan mau express atau reguler macem2 ajah yg reguler hampir sejam keburu dingin yg paling utama keburu laper,1
aplikasinya keluar sendiri padahal udah di update udah di uninstal terus di instal ulang tapi tetep kek begitu jelek nih aplikasi,1
Saya transfer uang dari gopay ke bank tertera sudah terkirim tapi belum masuk ke rekening mohon untuk konfirmasi dan tindak lanjutnya,1
BURUK,1
Lagi lagi terjadi gopay gua ilang lagi baru juga gua top up dan gua tinggal seharian blm gua beli in apa apa tadi gua top up saldo gopay 350k sekarang pas gua mah beli barang di online shop pas liat saldo tinggal 229k ga tau dah tuh ilang berapa males ngitung gua udh dua kali kehilangan uang yang pertama udh gua ikhlas kan dan yang ini udh ke 2 kali nya dah lah gua jadi males nyimpen duit banyak di gopay mending di dana sekian gua kecewa sama apk ini ,1
Aplikasi yg TDK mau menerima keluhan customernya mau laporan dipersulit Aplikasi sampah,1
Edit Jaringan bagus aplikasi sudah versi terbaru namun masih error untuk pemesanan gojek bisa namun untuk gofood tidak bisa tertulis error gps saya sudab aktif Sama kadang kalp agak jauhan muncul location not serviceable nah ini tolong di perluas lg jangkauan ny Gojek bisa knp gofood nggak,1
Apaan dah pesen gofood biaya layanan sampe 30rb pdhl ongkir dibawah 15k an,1
Maps digojek eror gajelas kasihan bapak Drivernya,1
Untuk aplikasi gojek diperingan dong untuk android lollipop Os versi 5,1
stelah d perbarui aplikasinya kenapa jd bobrok bukan tambah d perbaiki kok malah gak bs buka trs resard ulang trus,1
APLIKASI GK KEPAKE ,1
susah banget dapet driver kalo gosend pake samday tolong hapus aja opsi pengiriman samday nya driver pada males ngambil orderan,1
Bisa tidak iklan ny gojek ini di lakukan saja si aplikasi GOJEK setiap buka WA iklan nya selalu lewat mebuat saya tidak nyaman  di aplikasi lain juga setiap di buka selalu masuk iklan GOFOOD,1
Kenapa habis diupred kk malah gk bisa dibuka,1
gak adil banget jek gw sering order gk pernah dikasih vocer kalaupun dikasih vocer itu pun gk masuk akal harus belanja diatas 100k baru dpt potongan 30k  herannya kawan yg jarang order malah sering dikasih vocer potongan 50 bahkan 70 gk recomend banget jekSUMPAH ,1
Setelah update hp kentang yang kyk punya aku gak bisa pake gojek lg keluar sendiri,1
Mohon kongirmasinya buat gojek iniknp pas udh di update tapi malah semakin rusak tiap x buka aplk ny malah ga bisajd kecewa sekrang ini,1
Aplikasi degan tarif mahalmasih mending maxim harga murahsaya klo transportasi pk maxim doang,1
gopay later saya malah di blokir padahal saya selalu bayar sebelum jatuh tempo parah bener,1
Aplikasi tolol daftar paylater udah lama dari limit 500rb sampe 5jt sekarang gapernah telat bayar selalu transaksi pakai gopaylater pas mau beli pulsa malah DIBLOKIR gopaylater saya padahal cuma mau beli pulsa saya gapernah telat bayar BELI PULSA DOANG DIBLOKIR EMANG DASAR APLIKASI SAMPAH TOLOL IDIOT MASIH ADA TAGIHAN GOPAYLATER 90RB TADINYA MAU SAYA BAYAR CUMA UDAH DI BLOKIR GITU MALES AMAT GUA BAYAR BODOAMAT KAGA BAKALAN GUA BAYAR SUMPAH,1
Maksudmu opo cak ngomong kangen nak pipiii,1
Woiii ini knp anj banyak banget iklanya mau masuk aplikasi apapun itu ada iklan aplikasi GOJEK bab,1
Gojek apaan dahtadi waktu milih promo masih ada giliran udah ditop up tiba promo hangus Gajelas bgt,1
Kok gada mode pilihan pembayaran lain cuma gopay ama tunai ajh,1
Akun saya saldo gopaynya hilang Saya ngk ada bikin pesananjam 0100 pas sore saya buka akun gojek buat bayar belanjaan di alfa Ternyata saldo saya udah berkurang aja 30rb pesan gojekini bukan soal nominal tapi caranya apa apan kayak gini Saya ngak terima Pengiriman ke ewallet juga LAMA saya sudah menunggu satu hari Dan bayar 2x ke penjual Ini APK ga punya customer service apa bagaimana Beda sama ewallet terbaik lainnya,1
Abis di upgrade malah gak bisa pake gotransit nya payahhh,1
aplikasi mau bankrut bikin draver sengsara,1
Makin hari makin kacau,1
Sudah didownload malah dowload ulang lagipasnya didownload lamaaa sekali bahkan berulang ulang didownloaditu kenpa yah min ,1
kenapa gopaylater saya tidak bisa digunakan dan ada tulisannya diblokir padahal limit masih ada dan tagihan terakhir pun sudah saya lunasi dulu tidak pernah begini semenjak beralih ke MAB pun denda telat bayarnya naik drastis sehari 50ribu makin aneh aja,1
Driver gojeknya ga tau haluan lalu lintasga ramahga sabaransuka nerobos malah nyenggol anak SMK,1
rubah rating gara2 sistem gopay ngaco parah,1
Apk tolol masa engga bisa ngojek di lokadi gw tolol banget,1
Promo kurang and terlalu mahal,1
Susah banget dapet driver kalo lagi ujan Padahal di depan mata sendiri drivernya lagi pada nongkrong,1
Mangkin di update mangkin gk jelas limit gopay letter tersedia tp di blokir apk aneh sebelum di update malah aman aja,1
Ada pengalaman dapet driver sombong dan kasar kronologi mesan grabcar kebetulan malem itu abis hujan jadi jalanan kotor dan becek pas driver sampe di lokasi penjemputan ponakan saya buka pintu depan dan masuk kemudian driver dengan nada tinggi bilang ke ponakan saya kaki kamu kotor mobil saya bersih sambil tangannya membersihkan bangku yang tadinya sudah diduduki ponakan saya Akhirnya kami tidak jadi naik mobil driver itu walaupun statusnya sudah dalam perjalanan dan uang sudah di driver,1
Pesen go food sama driver dicancel mulu udh 3 kali heran deh pelayanan go food lama banget mentang mentang diskon Kalo dibandingin mending dishope food sih mahal dikit tp driver ny gercep,1
Parah di pesan gak ada yang mau satupun,1
Setahun ini Gojek tidak memuaskan ,1
Kami mendeteksi pemakaian yang tidak biasa Kenapa dengan aplikasi gojek di hp sy Dari terahir tahun 2022 selalu begitu sampai saya hapus aplikasi gojek karena tidak bisa di gunakan dan saya beralih ke yang lain Sekarang saya download lagimasih tetap sama KAMI MENDETEKSI PEMAKAIAN YANG TIDAK BIASA Begitu terus dari tahun 2022 sampai sekarang Kenapa,1
Gofood ini semakin lama semakin susah dpt driver sampe berjam2 g dpt2 pdhl udah pilih yg paling mahal kirimnya tetep aja g dpt restonya maka ga sampe sekilo terpaksa batalin terus karna ga tau mau sampai kapan nunggu dpt drivernya,1
Fitur penjemputan tidak bisa aplikasi rusak,1
Sangat kecewa pas hujan nggak mau ambil orderan,1
Temen ku top up kena refund tanpa alasan,1
saya sebenrnya pelanggan gojek tp iklannya setiap detik muncul di hp sy sangat menggangu pihak gojek apakah saya harus uninstal aplikasi anda supaya iklan gojek tidak masuk lagi ke hp saya,1
Aplikasi ampas Masa habis pesan makanan pake promo Tapi keburu tutup rumah makan kartu promo hilang Rugi banget Minimal ngerti ekonomi pengguna Bay,1
Gopay ne maksud nya gimana ya Untuk apa di kasih limit pay later kalau gk bisa di gunakan Bayar gk pernah telat ehhh pay later nya gk bisa di pakek alias di blokir agak lain memang ini aplikasi ,1
untuk wilayah berau masa dari tanjung redeb ke labanan gak adahadehhh cuman kotanya doangpdhl kita jga mau jalan keluar kota jga loh,1
Assalamualaikum ka mengapa ngebug pdhl sdh versi terbaru saya jadi sulit menggunakan krna keperluan saya dulu gojek apk bgus saya tidak berpindh2 mengapa skrng jd sering ngebug pdhl kuota full dan tdk menggunakan wifi tlong segera dibenari skrng install pun lama pendftrn pun lama segera diperbaiki ini membuat saya tidk nyaman krna sush msuk untuk ke aplikasinya dan slalu kembali ke beranda kak trma ksh,1
Tolonglah kasih driver yang jaraknya deket buset ini mah gua dapet drivernya setara indonesia  mekkah,1
Potongan terlalu tinggi bagi driver ,1
Update melulu,1
mentenen mulu ajggua mau beli pulsa masa gitu aja lamaaa,1
Saya ngasih rating satu karena aplikasi gojek ini nyarinya terlalu lama bahkan ini nyarinya udh 10 menit Saya ini masih sekolah dan saya biasanya pake gojek suka terlambat karena ini gojek nyari drivernya lama banget ,1
Tolong ini kenapa mau beli kuota ga bisa sih awalnya emang aku lupa sandi tp tetep ga bisa di bayar mana lagi buru buruayo dong tolong plis benerin jangan mempersulit padahal sebelum di update ga kek gini deh mana ga bisa di transfer bank pula lumayan banget uang yang di top up soalnya tapi ga bisa di pakai kecewa berat,1
Gopinjaman tidak bisa dipakek percuma udh banyak top up,1
Buka aplikasi gojek selalu gak bisa,1
Saya pengguna gojek dari 2016 kenapa tiba2 gopay later saya di blokir Klo sudah di perbaiki saya perbaiki juga bintangnya,1
Go pinjam sy dibekukan usaha sy jd macetpdhal tagihan angsuran sy tdk pernah bermasalahbused dah,1
Mohon untuk perusahaan atau pengembang agar responsif untuk komplainan pelanggan dan saran saya agar ada CS yang menelpon ketika ada komplain dari pelanggan,1
Untuk gopay later nya sdh naik limit smpe 33jt tpi tdk bisa di gunakan percuma jd anak sultan go club nyamalas pakai aplikasi ini lagitmbh lama semakin jelek,1
Tolong kenapa gopaylatter gak pernah bisa di pake Padahal bayar gak pernah telat Percuma ngasih fasilitas GAK GUNAAA GAK MEMBANTUU,1
Rute goridere selalu di lewatin jln kecil banyak polisi tidur menghambat percalan menyebalkan,1
Ongkir gofood mahal najis jarak deket juga,1
sya draver hampir 3 jam gk dikasih orderan tpi vendor yg bersama gojek sprti goflet selalu perioritas gak di baca komen saya,1
awalnya bintang 5 karena merasa puas sekarang saya kasih bintang 1 ganti management ya jadi ribet banget,1
Aplikasinya buruk Map nya suka bermasalah Ngebug,1
Rugi update app jd tambah ribet mau beli pulsa aj musti ke toko pelayanan tdk spt dulu gmn mengembalikan dpt setelan awal ya,1
Jadi jelek fitur payleter tidak bisa dipakai,1
buruk,1
Pelayanan customer servis sangat buruk sudah 5 hari saya mengajukan pengembalian saldo gopay and then apa yang terjadi sampai sekarang saldo gopay saya tidak di return dengan alasan mereka menghubungi saya tapi sayanya tidak bisa di hubungi saya cek hp saya mana ngga ada mereka menghubungi saya,1
Sekarang semakin buruk apk ini para supir gojek terutama mobil selalu menolak pelanggan tp g mau mengcansel nya,1
MANTAP ,1
Dh masuk trs keluar sendiri,1
Setiap laporan masalah tidak pernah selesai sma CS nya PAYAH  Apa harus lapor ke media konsumen Apalagi masalah Cashback dan makanan tidak sesuai pasti ga pernah selesai masalahnya Tolong perbaiki lagi layanan anda terutama untuk Cs nya ga pernah menyelesaikan masalah binggung harus buat laporan seperti apa lagi supaya ditanggepin masalahnya,1
Makin lemottt pas di buka,1
ini kenapa gopaylater saya tidak bisa digunakan padahal sudah dapat limit sampai 21 juta kan sayang ngak bis pakai,1
ribet harus je shelter terdekat dlu kalau mau jemput drivernya ga ramah,1
Mahal diongkos,1
Gopay hilangpusat bantuan gk ngebantu sama sekali dari pagi di tungguin gak balik tu gopay,1
makin di updte makin parahbaru aja buka aplikasi malah keluar balik ga jelas banget,1
Kurang simpel dan rumit cara memesan di aplikasi  Sinyal bagus tapi katanya jaringan eror,1
Bancaan GoPayLater tidak bisa dilunaskan sewaktu kita inginkan selalu bisanya bulan depan tgl 15 Pas mau bayar uang hasil buat bayar GoPayLater lari kepada kebutuhan Parah,1
Gojek apk nya jelek banget sekarang masa pin gopay saya salah terus udah ganti pin berapa kali gak bisa bisa walaupun bacaannya berhasil Gimana sih ini pake akun punya sendiri aja di ribed ribed,1
Ggak jelas apk nya udah isi gopay 50 k saldo nya ilang gara akun gak ke pake 3 bulan pas udah selesau verifikasi saldo ilang,1
Sistem gojek sekarang parah tidak seperti dulu,1
Go tiket ilang kemana min,1
Aplikasi tolol,1
Haha malah di blokir GOPAY latter nya ngakak bayar ga pernah telat tiba2 di blokir ampas,1
Padahal saya pelanggan setiap tapi tiba semua promo besar jadi hilang padahal di akun teman saya ada Chat juga tidak ditanggapi,1
harga lebih mahal dan driver gojek selalu cancel perjalanan,1
Email saya tidak bisa masuk,1
Gosend layanan abal2 ksh promo plat 10 K tapi driver nolak berkali2lain kali gak usah bikin promo yg drivernya gak mau kerjasamamonyet ,1
Limit gopay later sekarang makin kecil denda keterlambatan untuk 1 hari sebesar 50K limit gabisa dipakai untuk beli pulsadata  bagus yang sebelumnya Limit besar denda keterlambatan untuk 1 hari cuma 2K limit bisa dipakai untuk isi pulsadata,1
Aplikasi gak bisa di buka,1
Saya bingung sering pakai tpi mengecewakanpesen makanan sudh diambil 30 menit lalu dichat dan telp driver ga ada respon aplikasi error Saya dirugikan pesanan lama pdhal nambah uang buat segera smpaiperbaiki sistemnya jawabnya juga lama sekali bantuan bad,1
Paylater terparah tiba2 gopaylater sy terblokir padahal bayar tepat waktu setelah melakukan pembayaran eh malah akun terblokir ada limit 3 jt gk bs kepake logika nya aneh,1
Aplikasinya susah dibuka eror terus kecewa,1
DUIT HILANG,1
Sudah nyoba berkali kali gopaylatter  gopay pinjam selalu gagal trus knp sih gajelas,1
Call center dengan tarif mahal,1
Tolong di perbaiki ya Banyak laporan customer kalau aplikasi dari gojekselalu mencari Dreverdan juga aplikasi sayasudah saya ondari gojek nya bilang anda tidak sedang onoff ,1
Tiap top up pake di tanya pake perangkat lain Isi nunggu kode otp yang ga masuk,1
Mau membatalkan pesanan eh malah suruh chat sama CS bot udah berkali2 ngajuin pembatalan tapi ngga dihubung2kan dengan CS manusia akun resto fake dan clonning restonya mah ada tapi akun yg saya order itu clonningan dr orang tak bertanggung jawab gimana cara jelasinnya kalo yang saya hadapi CS bot Nggak ada dana buat bayar admin CS,1
Aneh sama aplikasi gojek kalau setiap jam 3 pagi dpt driver jauh  jauh,1
Semakin lama semakin aneh Udah ga ada sama sekali promo di aplikasi ku udah coba nanya ke CS malah bot yg jawab,1
Saya lagi cari driver padahal di peta ada driver gocar dekat tp kok tetap ga dapetdapet driver seharusnya driver yang dekat dengan saya merespon,1
tidak bisa meng cancel pesanan padahal resto yang tutup kasian driver nya sudah ter ganti,1
kan baru saya instal apl nyaa kok ada tulisan apl eror kakkk udah 3 kali ttp apl eror,1
Tiap kali transaksi selalu muncul oops ada sedikit gangguan mau komplain gaada livechat isinya panduan semua gaada solusi,1
Apk aneh driver songong Udah gitu kalo hujan lama bgt nyarinya,1
driver 5000 nyebelin emank bukan pake akun ini ordernya tapi kan ngeselinminta tips koq maksa pengemis aja ga segitunya,1
MENGAPA PUNYA SAYA GABISA PASANG PROMOGOJEK GAJELASMAU NYA BIAR HEMAT MALAH RUGI,1
APLIKASI RUSAK,1
APA APANN SAYA IKUT DAN BAYAR PAKAI UANG BUAT DAPATKAN GRATIS ONGKIR MALAH DI GETOK 15RB  KOCAKK SUDAH BAYAR DI SURUH BAYAR LAGI DASAR TIDAK BERGUNA BALIKIN UANG GOFOODPLUS SAYAA,1
Udah diajukan banding tetap ditolak Ini nomor gak pernah penyalahgunaan aplikasi malah dituduh Fixed kalian memang gak berguna,1
Mana promonya niy saya pelanggan go ride,1
Tiba2 gopay later gua di blokir pdhl gk prnh tlt byr mnding uninstall aja,1
Ga jelas main blokir sepihak,1
Sejak GoPay aplikasi tersendiri disitulah terasa sulit jangan ganti manajemenpimpinan ganti pula kebijakan seperti kementerian pendidikan bae kebijakan gonta ganti,1
Kenapa setelah update saya tidak bisa mengkoneksikan my Telkomsel ke gojek untuk isi pulsa padahal sebelum update aplikasi selalu lancar sekali Ini setiap terhubung ditulis sinyal internet saya offline padahal online dan sinyal sangat kuat Setelah coba berkali kali malah semakin tidak bisa Tolong diperhatikan lagi Kalau begini percuma saya isi saldo gopay Karena saya hanya memakai untuk pembayaran saja untuk transportasi tidak terlalu saya butuhkan disini karena daerah kami belum ada gojek,1
saya baru saja memasukkan promo GORIDEAJA dan disitu tertulis kalau voucher saya dapat digunakan dan ketika sy membuka halaman voucher tidak ada voucher goride yg muncul,1
Lama dapet driver lol,1
Buruk susah sinyal selalu,1
semakin buruk lama lama kenapa di berikan driver jauh tidak yang terdekat,1
Makin jelekdi update mlh gak bisa di buka,1
Pada tanggal 23 kemarin saya mebatalkan pesanan ojek tapi saldo saya tidak kembali,1
Buka gojek app lazy load terusss berasa ga terkoneksi internet di waktu yg sama pake grab aman Aja Udah pake gojek versi terbaru,1
Saya gak bisa mengakses gopay tabungan padahal sudah daftar tahu2 layar putih gak nunjukin apa2,1
Setiap pesan goride atau gofood selalu aja titik lokasi saya sulit ditemukan oleh driver pdahal klau pesan memakai lokasi yg tertera dg titik kordinat,1
Kirim saldo gopay terkirim 2x gara di aplikasi ada notifikasi yah internet kamu mati setelah klik ulangicoba lagi ternyata saldo sukses terkirim 2x padahal internet saya baik saja di aplikasi dana dan aplikasi lain gak ada notifikasi kaya gitu setelah di komplain katanya kesalahan saya dan saldo tidak bisa kembali tapi saya ga mau klau itu dibilang kesalahan saya anehnya lg klo memang internet saya mati kenapa saldo terkirim  berarti kesalahan aplikasi dong bukan salah saya ,1
Pengemudinya lelet sering cancel se enak jidat dari pihak pengemudinya sendiri kalau sudah nunggu lama Nyesel pakai gojek Kerja sering telat gara2 nunggu pengemudi ampe lama banget ,1
Kasi saya diskon makanan 50 Kan saya d suruh milih vocer Aku tunggu kbr baiknya Semua resto rata Ok2,1
Pelayanan makin lama makin buruk Semakin d update semakin buruk yg bener aja Rugi Padahal dulu bagus skrg gini Speechless asli G lagi make,1
Oke,1
Jelek,1
Tagihan nov tererlambat udah dibayar berikut denda di bulan sesember tagihan bulan Desember dibayar Udah ada pemberitahuan pembayaran yg japo ditgl 1 feb tapi gopayleter masih diblokir Systemnya MAB buat saya bingung ga kayak si oyen wl bayar telat tapi ga lama udah dibuka lagi blokir payleternya Nah digopayleter nangih mah nagih yg masih belom japo tapi payleter nya masih aj keblokir,1
Kenapa gopaylatter sy tdk bisa digunakan padahal pembayaran sy sudah jelas lancar tdk pernah telat sedikitpun Kecewa sekali sy,1
Diversi terbaru ini gimana caranya kembalikan akun saya seperti yang lama soalnya saya ada tagihan digojek,1
Saldo hilang,1
Sampah disuruh updete Begitu di update malah gak bisa dibuka Gak berguna sampah hijau ini,1
Muncul iklan terus,1
Gopaylatter nya gak bisa di pake padahal g pernah telat bayar sama sekali Kok setelah migrasi antar PT atau penyedia layanannya Malah jadi ke blokir Payah,1
Penyelesaian masalah tidak tanggap,1
Gopaylater ku tiba2 di blokir  padahal ngga pernah bermasalah dlm pembayaran,1
semakin kesini tidak semakin baiktapi semakin burukbahkan menyusahkan,1
semenjak update tolol ga jelas bikin ribet mau kemana di arahin kemana makin jauh lagi,1
Tiba tiba GoPay Latter saya diblokir tanpa pemberitahuan penyebabnya apa padahal bayar tidak pernah telat,1
Dulu aplikasinya bagus tidak ada bug tapi makin di update makin banyak bug bertebaran kadang suka force close yg paling sering internet mati,1
GAK GAK LAGI W PAKE NI APK NYUSAHIN DRIVER PILIH KASIH KNTL,1
Drivernya malasgk mau antar penumpang,1
Sangat kecewa sebab tujuan dekat saja driver yg dekat tdk ada yg mau ambil dan ada juga driver posisi jauh sekali,1
Harganya kok naik ya,1
Pesen go food Driver dapat dobel order Saya yg terahir makin lamaa drivernya banyak kannn,1
Jelek,1
Pesanan sangat lama sampai sejak ada mode hemat dan driver nya banyak sekali minta tip tambahan karena mereka di bayar 5000 Saya sangat tidak nyaman karena ulah driver anda tiap kali memaksa minta tip tambahan Lebih baik saya pindah ke aplikasi lain Dan semoga costumer kalian pada kabur,1
TOLONG NOMER CUSTOMER JANGAN DIPRIVASIKASIAN KLO BRNG HRS DIKEMBALIKAN KLO ALAMAT G JLS TOKOPEDIA,1
kenapa skrg suka lamaaa banget dapetin driver nya cuss tu app satunya lah,1
Bikin susah deiver ngisi saldo,1
